Najdan Krstajić
Negosava Čaloveić
Pava Tupajić
Mirjana Pimić
Vojimir Vučinić
Bisenija Malbašić
Špiro Stamenić
Goca Verbunkić
Vlajko Čkrkić
Trajko Srzentić
Tijana Blešić
Metodije Dimitrić
Tanja Džavić
Feodor Micić
Trajan Milunić
Ristivoj Vrećić
Adam Erkić
Zvezdana Despinić
Marjan Savelić
Prokopije Ljepavić
Milka Modić
Ivanka Radukić
Bisenija Turnić
Jelka Jalovčić
Dalibor Kolačarić
Slavenka Gagić
Nićifor Ćirjanić
Simeuna Bokonjić
Nadežda Gležnić
Sava Čudić
Snežana Rinčić
Nikola Đokić
Stana Kraljačić
Ljubiša Skrobić
Veroslava Bekić
Đurađ Pauškić
Selena Leštarić
Radoljub Gušić
Negoslav Dičić
Kosta Bačlić
Kosovka Šuleić
Petar Selenić
Jagoda Lukić
Elena Dragišić
Cvetin Boltić
Gradimirka Kozarčić
Prodan Delojkić
Prohor Skrobić
Sandra Mrdić
Rodoljub Cmiljanić
Aleksa Eskić
Marija Belonić
Leposava Radivojšić
Adam Jabukić
Marko Risimić
Ranisav Timilić
Slavna Malčić
Jordan Lepotić
Anica Vezilić
Staniša Jovalekić
Melenija Fejzić
Sava Ugrešić
Radivojka Brodić
Vladanka Ljubavić
Slavenka Bikić
Soka Budnić
Ljuban Diskić
Trivun Grđić
Gruja Kukić
Peran Brozbić
Jugomir Kijačić
Milutin Vukoičić
Hristina Miličić
Mirjana Džombić
Drgorad Kompalić
Živoslavka Jovandić
Dobrašin Veselić
Makarije Ćelić
Jelenko Kapetinić
Ignjatije Piljić
Veliborka Stajšić
Dejan Bondokić
Sofija Đeorđić
Naum Najdić
Prokopije Zjalić
Živana Ćendić
Jelenko Janjušić
Ignjatije Piletić
Ivka Đikić
Stevanija Begenišić
Velimir Radanić
Nedeljko Gudurić
Sojka Pericić
Tatjana Đapić
Goca Stokanić
Srpko Teslić
Mojsilo Šašić
Jevdokija Vladičić
Stanislav Maćić
Daliborka Mandukić
Ristivoj Dolinić
Dragica Bodirožić
Časlavka Pelagić
Ljubinka Grgić
Branislava Conić
Stefan Uršikić
Vukan Kurandić
Vera Palčić
Dragoslav Divić
Njegoš Vezilić
Nastasija Tijeglić
Prerad Kavarić
Ranko Radotić
Radoman Stefić
Dobroslavka Miovčić
Živkica Cankić
Ognjen Bugarić
Feodor Karaičić
Vujadin Ilijić
Fanija Bacić
Stanislav Kmezić
Dobrilo Bosić
Zvezdana Šljivić
Milan Čembić
Živorad Abramić
Bogomir Aladić
Stavra Canić
Sava Vugdelić
Radojlo Denić
Srbislav Radosavkić
Ivica Mesulić
Marijan Šuljagić
Vladan Đuragić
Stojadinka Kurilić
Živodarka Bataveljić
Budimir Kozomarić
Željka Boberić
Fema Maretić
Nebojša Pisarić
Perunika Niškić
Nebojša Grubnić
Tanja Kulundžić
Đura Pupić
Koviljka Jovikić
Cvetana Paprić
Stanislava Jakšić
Lepomir Zlatić
Ljubiša Cmiljanić
Ljubivoje Lalušić
Cane Kljakić
Magdalena Spajić
Persa Vučendić
Lena Jezerkić
Fedor Tanić
Šale Saičić
Arsenije Vladušić
Olgica Šapurić
Kosara Grkinić
Jevta Vulpicić
Cvetana Čekić
Draginja Šekarić
Gavrilo Kumrić
Oliver Ivucić
Zlatica Đurišić
Buda Grcinić
Ana Nemanjić
Ćirka Necić
Ljiljana Poparić
Tijana Kojčić
Lilijana Šelmić
Vukota Radovanić
Stamenka Štrkić
Smilja Varezić
Violeta Pajić
Jevta Škrebić
Nenad Milikić
Todor Ljepavić
Slavko Disić
Dragan Karolić
Zlatica Tošić
Šale Varjačić
Ratiborka Šantrić
Sreten Batajić
Stanija Šljapić
Šako Tojčić
Jela Pešukić
Pava Kuveljić
Zagorka Dinjičić
Đorđe Perenić
Julija Balcojkić
Irena Modić
Isak Suđić
Predrag Lapčić
Velimir Spakić
Georgije Fuštić
Zagorka Sarić
Đurđa Dedeić
Radenka Škodrić
Vladeta Zojkić
Trivun Ševarlić
Slavica Bruić
Suzana Kolobarić
Sofija Stojkić
Lazar Šojić
Radoje Bukelić
Leontijr Krkić
Svetlana Čekić
Melenija Sladić
Radomir Spurnić
Borko Jović
Željka Todorčić
Živorad Šakić
Milka Savatić
Milesa Pejušić
Sonja Šmigić
Javorka Prunić
Julijan Šubić
Selimir Davinić
Smiljana Jandrić
Budislav Tičić
Simeuna Opricić
Jakov Gušić
Simka Kovjenić
Ostoja Gujaničić
Sanja Kljunić
Radoman Belivakić
Veselin Pašić
Sofronije Gorančić
Ljilja Ekmečić
Stanojka Pražić
Srba Sekulić
Njegomir Verbić
Zlatko Miljić
Stracimir Bačkulić
Ljeposava Jelenić
Zaga Milosavić
Antonina Lukić
Milivoj Mitić
Tijana Vitakić
Hristina Kuvizić
Zlatomir Čališić
Dragan Šuletić
Gradimir Zvizdić
Vukoje Javorić
Uranko Bradić
Toda Radučić
Krsman Bravačić
Ratomir Loncić
Moša Polugić
Tomislav Ćulafić
Pelagija Ljamić
Srba Čojčić
Slaven Radunkić
Svetislava Savelić
Hristivoj Grivić
Filipa Jajić
Doris Žmukić
Goran Rajičić
Raško Glamočić
Mašinka Korugić
Caja Jelisavčić
Doris Tanurdžić
Sava Sinkić
Vukica Lulić
Jovan Stelkić
Vasilija Manasić
Jordanka Stanikić
Hranislavka Komnenić
Radoslavka Dostičić
Đurica Šuljagić
Vladimir Jerotić
Bratislava Glavonjić
Perunika Stambolić
Njegomir Đukelić
Đura Mrkušić
Ilija Grastić
Pauna Bajkić
Stanica Mijačić
Steva Jalić
Prvoslava Kendrišić
Malina Vajagić
Peran Đukić
Bojan Karapandžić
Borka Krnetić
Radivoje Jelisavčić
Vukoje Cenić
Radule Stepić
Jela Mostić
Živodarka Bralić
Negoslav Kopitić
Vujadin Novarlić
Golub Stojičić
Konstantin Stepić
Sonja Krdžalić
Emil Manjić
Persida Simić
Danojlo Stankić
Teodosije Džugurdić
Negoslav Kerebić
Stanoje Nevenkić
Jeremije Ajdučić
Ljuba Janičić
Janovka Lužaić
Ljubiša Žerajić
Ružica Brusić
Ugren Stokanić
Kostadinka Babecić
Blagica Asentić
Vojislav Dobričić
Spasoje Šakić
Prodana Vajić
Čubrilo Tasić
Taško Sporić
Kornelije Rajlić
Elena Tumarić
Radiša Kusturić
Janovka Dondić
Toplica Čivtelić
Ranka Nebrigić
Jefimija Blešić
Vidak Strajnić
Hranislava Šoškić
Radojica Drajić
Trajan Jergić
Đurđina Nikosavić
Jelisaveta Baveljić
Radonja Strunić
Simeuna Rajičić
Živanko Perutić
Cane Mitrekanić
Ranka Bešlić
Petra Stevlić
Blagica Meržikić
Manojlo Radosavkić
Obrenija Vlajnić
Irena Medić
Radenko Miklejić
Jelica Agić
Laza Pojkić
Ostoja Plačić
Darinka Janić
Gradimir Mitrić
Mira Vidić
Miomir Ješanić
Sajka Pleskić
Radmilo Sorajić
Višnja Olić
Spridon Srnić
Jovan Dostinić
Cvetin Paprić
Gabrijela Životić
Dobrosav Dabić
Cana Stijačić
Zora Baćić
Slaven Stojčić
Jadranka Filipić
Lazar Vlasinić
Andrija Perenić
Aran|el Važić
Avram Dušanić
Stojka Vugdelić
Jefimija Marljukić
Mirko Uverić
Zagorka Soknić
Marinko Genčić
Dragojlo Gošnjić
Ljeposava Šupić
Ljubiša Lakušić
Gradimirka Miodanić
Sonja Dinkić
Radoman Grajić
Jasna Brdarić
Nedeljko Šterić
Angelina Jurić
Ratka Rasulić
Bogoljub Vergić
Soja Sparić
Agnija Krainčanić
Šana Bibić
Srđan Hadži Ristić
Slavica Čotrić
Vladislav Mikšić
Irena Smikić
Jeremije Paldrmić
Verica Makić
Stefan Bataveljić
Kosara Đenisić
Velinka Stojančić
Danica Leposavić
Ivo Kizić
Dušana Mutić
Nikola Žiletić
Srbislava Zrnić
Bogdanka Lekić
Nedeljka Žurić
Lena Klisić
Ćuba Padić
Violeta Stiklić
Radoslavka Jonikić
Lucija Dornić
Damjan Bodirožić
Teohar Velenderić
Staniša Radanić
Cana Prodić
Divna Maljugić
Lola Ilikić
Vladimir Šantić
Moša Krkobabić
Doroteja Arsenić
Ninoslava Dikić
Stanislav Umetić
Stojka Dostinić
Slavenka Miškić
Nada Vorgić
Negosava Koranjić
Blagoje Škrbić
Desimir Krivačić
Ristivoje Negrić
Dušanka Ćurdić
Ljubo Vakičić
Toma Čokić
Radoš Vorgić
Bogdana Svilkić
Nadežda Trivunčić
Aksentije Malukić
Negosava Grđić
Lena Škundrić
Jezdimir Parivodić
Vukoje Dodić
Ratomir Jovičić
Hristivoj Škodrić
Kirilo Lisičić
Radoje Jakšić
Fedor Dakić
Trivun Nastić
Vujadin Ranisavić
Podgorka Bulutić
Đurđe Cankić
Una Smolić
Aleksandra Koraksić
Petronije Grcinić
Smiljana Studić
Ljupče Gverić
Sima Dunčić
Stojka Stojankić
Trajko Brdarić
Dragomir Dragulić
Evica Šipčić
Isidor Bajičić
Milun Škarić
Marija Milčić
Tijana Burić
Simonida Plavić
Viktor Riznić
Ozrenka Brukić
Vekoslav Čekrlić
Jezdimir Timilić
Hariton Aljetić
Svetlana Stamatić
Željka Rajačić
Mateja Bukovčić
Jasna Setenčić
Milijana Spenčić
Radule Ličanić
Blagoje Redžić
Pajka Ikonić
Gabrijela Manić
Negomir Milušić
Tada Žarić
Jakov Lupikić
Anica Conić
Sretoje Aćimić
Caja Smolić
Stojan Reljić
Ružica Pavčić
Trajan Tončić
Sonja Lovrić
Emilija Bulutić
Stojana Balabušić
Petronije Čohadžić
Adam Klašnjić
Ćana Jarić
Fema Lepetić
Branka Čaušić
Stojmen Bratonožić
Dimitrije Barajić
Miroslava Glintić
Violeta Jelisavčić
Kornelije Adžić
Nebojša Nejkić
Jugomir Stijepčić
Steva Kokić
Žarko Nenčić
Tešman Šarkić
Ljiljana Batnožić
Varvara Backić
Cana Sibinkić
Dragiša Čingelić
Najdan Maslovarić
Aran|el Nožinić
Isak Egarić
Dobrilo Vukoičić
Helena Grajić
Tijana Mijačić
Krstan Plemić
Cajka Mrdić
Dobrinka Lakonić
Mira Agić
Sima Krasić
Kristivoje Drajić
Relja Ivančić
Milijan Ćorić
Đurđija Kvekić
Radoslava Bobić
Milivoj Kovinčić
Jezdimir Drenić
Gvozden Đuketić
Stojan Džonkić
Stojan Živić
Lazar Gikić
Radovan Šarančić
Kosta Rebić
Pavle Burčić
Vlastimir Dinčić
Prvoslav Miljić
Vukan Jovandić
Živoratka Murganić
Nevena Ranić
Bogomir Tulenčić
Šale Spužić
Sreten Nenadić
Fotije Buloščić
Radan Ćoralić
Jerotije Katić
Krsta Kosorić
Kostadin Ugrčić
Grozdana Drapić
Srboljub Moskić
Veroslava Stamenčić
Stojan Smrekić
Aleksija Pešić
Gavra Čivtelić
Svetlana Mesulić
Jelenko Stančić
Dunja Đapić
Bane Novčić
Dunja Ujić
Fema Grabić
Slavna Spilkucić
Njegoslav Tujkić
Staniša Budnić
Sara Kušić
Živkica Civišić
Cvetana Milijić
Radule Vukošić
Ivica Mudrić
Ratibor Kiselčić
Milentije Đenić
Hristivoj Blagić
Antonije Viorikić
Srbislava Riđešić
Ratomir Baldžić
Časlav Kozić
Stojka Kasagić
Đuro Trenkić
Mirjana Carić
Ekatarina Jankucić
Novka Palalić
Jevta Turajlić
Violeta Savkić
Stevka Pavčić
Tada Cmiljanić
Radivojka Nejkić
Milentije Krezić
Đulijana Pirivatrić
Marko Škodrić
Slavenko Potulić
Nevena Saramandić
Živodarka Đenadić
Isidora Stepandić
Takosava Pušeljić
Gradimir Gulić
Novko Peulić
Zdravka Varajić
Leonora Gorančić
Nada Ignjić
Stojmen Vacić
Eleonora Batinić
Novko Maljugić
Ivanka Cmolić
Dragiša Kvakić
Sojka Vukić
Stanka Čorbić
Momcilo Zrakić
Jevta Jokić
Živana Pualić
Tomka Draginčić
Ćirka Čvorić
Slavenko Jočić
Hristina Luketić
Bojana Kučparić
Olivera Drmanić
Borka Kremić
Želimir Stokanić
Viktor Šipragić
Ljeposava Rokvić
Siniša Ostojić
Avram Drenovčić
Milentije Kostić
Ivo Žunić
Božana Mančić
Ostoja Drenovčić
Radoslav Šajtovidžić
Vukadinka Vlastić
Gabrijela Kojundžić
Metodije Tufegdžić
Ratimir Mrkšić
Ćira Stolić
Kasija Džambić
Njegomir Dostanić
Ivan Tomičić
Perunika Stejić
Hristina Nojkić
Ćana Mudrić
Radisav Mratić
Prvoslava Denić
Cvetko Butorkić
Radojlo Karapandžić
Arsenije Ćendić
Ljubica Kraljačić
Katarina Tatišić
Svetolik Ljušić
Sofija Švabić
Ćira Vukomančić
Pajka Vrugić
Milinko Dančejić
Mladomir Veić
Sergije Maljurić
Filip Galečić
Emilija Dobričić
Dragica Ćurlić
Verica Božanić
Veroljub Stjepić
Julija Jovetić
Stamenka Životić
Šako Riznić
Janko Ibročić
Ljubiša Đurendić
Ćira Konculić
Vasilije Vranić
Predrag Sibinkić
Cvijo Vragolić
Simka Brzić
Gavrilo Ravić
Blaženka Bjelotomić
Sergije Cvišić
Jakša Gvozdenić
Simeon Tubonjić
Ivka Traparić
Petar Tomić
Radmilo Velenderić
Novka Cuplić
Cvijan Steljić
Ćana Kujundžić
Janko Oprić
Dragoje Kondić
Lela Todosić
Mojsilo Budujkić
Grozda Smiljkić
Raško Kaldesić
Krstan Džiknić
Ljubinko Aličić
Zlatomirka Čurlić
Momir Vučanić
Bratislav Zipančić
Dragomir Peličić
Mladomir Stajić
Vidak Radukić
Makrena Bujić
Ćana Raonić
Aco Ugrinić
Blaginja Guveljić
Gligorije Čavrić
Draško Brandić
Eleonora Smrekić
Staniša Surudžić
Ćuba Kruškonjić
Metodije Priočić
Filotej Jerinkić
Ljuba Babecić
Jagoš Denčić
Srba Tičić
Dušanka Svilarić
Trajan Veselić
Ćirilo Malušić
Vitomir Ružičić
Kristina Ćeklić
Kamenko Bukić
Zdravko Krkić
Radivoje Stojankić
Vidoje Ubavkić
Petar Brščić
Mitar Zrakić
Nastasija Dostanić
Persa Pirivatrić
Igor Padić
Radmila Šajtovidžić
Gaga Sofijanić
Ćirka Ćupić
Raško Čobeljić
Uroš Plisnić
Vasilije Topalić
Goran Đuragić
Zlatomirka Sofronić
Tanasko Čudić
Žarko Kebeljić
Prokopije Krainčanić
Zorica Trifunjagić
Puriša Živanić
Ubavka Redžić
Časlav Kičić
Suncica Jankucić
Javorka Bušetić
Stojko Žestić
Tomanija Kozarčić
Veselinka Žikelić
Gradimir Savatić
Aran|el Ostojić
Milutin Plavić
Dobrašin Ignjatić
Eva Mačužić
Helena Jokić
Dražo Ljuškić
Adam Kovanušić
Teohar Špoljić
Ivka Galamić
Ratomir Pauškić
Đurađ Dubajić
Živoslava Metlić
Radoljub Travorić
Želimir Jablančić
Sotir Purešić
Draginja Zjalić
Aco Blesić
Grigorije Bodrožić
Dunja Drmončić
Cajka Eremić
Živojin Blešić
David Soprenić
Đurđe Pločić
Boško Čelić
Petrija Jabukić
Stamenija Kunjadić
Matija Mikulić
Cvetko Kočić
Mirosava Jočić
Slavko Makragić
Miloje Čarapić
Živodarka Potparić
Laza Gambelić
Strajin Momić
Srbislava Novčić
Jelka Đapić
Tanja Niškić
Lepoje Misojčić
Radojica Nocić
Žarko Zatežić
Vojimir Jankucić
Miloje Plazačić
Žaklina Lotić
Emil Nenezić
Golub Živčić
Bosiljka Jutrić
Ratiborka Štetić
Ninko Vukojičić
Svetoje Pašalić
Bisenija Kolavčić
Stojan Džambić
Janovka Grubnić
Čubrilo Radičić
Ljilja Manjić
Šiško Lović
Dragana Simikić
Doris Tutulić
Dušanka Mirjačić
Milivoj Joveljić
Vukan Staničić
Dobrašin Avrić
Ružica Gordić
Miladinka Balačikić
Tamara Dumitrikić
Živadinka Piljikić
Gorica Boldeskić
Draginja Šubić
Radinka Nevenić
Ratislav Rapaić
Prokopije Vujičić
Dejan Đurić
Miodrag Sunarić
Vidoje Bačkalić
Milesa Gagričić
Todor Miholjčić
Vukoje Mladić
Milijana Kentrić
Radmilo Tomičić
Stanimir Milčić
Vojislav Dugajlić
Tugomir Todosić
Ćirilo Kuršumdžić
Branka Turajlić
Petrija Bujišić
Velimir Krančić
Nadežda Čaušić
Marija Taricić
Veronika Deretić
Aksentije Kerebić
Sretenka Čobić
Teohar Kljunić
Tomka Brščić
Zlatibor Perišić
Ignjat Papić
Bratislava Šmakić
Bogdana Rošogić
Lucija Jocić
Borivoje Pronić
Sotir Čobić
Zlatko Betulić
Mirosava Plačkić
Đurica Grabljić
Ninko Ivantić
Ivka Baštić
Šana Grabljić
Cvijan Veseličić
Mijat Stanetić
Dušica Tamindžić
David Zokić
Ninko Mančić
Milisav Grabovčić
Vujadinka Alavantić
Jasna Boljanić
Grozdana Vukšić
Ljiljana Radosavljević
Novica Ćurčić
Đukan Colić
Boško Uglješić
Olga Čaušić
Mitra Kevkić
Prvoslava Simurdić
Strahinja Maljčić
Draginja Riznić
Cvetanka Puhalić
Mileva Raulić
Drgorad Vujčetić
Stanimir Bulić
Srbislava Gnjatić
Blagomir Palčić
Milutin Kežić
Lale Bulutić
Živadin Kažić
Mirko Dolinić
Jasna Bilkić
Dragoslava Fotirić
Kristina Jevdosić
Atanasije Kužić
Milinko Maletić
Milijana Vasić
Jeremije Tripić
Đurađ Ajtić
Peladija Bodrožić
Negoslav Oliverić
Velinka Negoicić
Ćuba Škobić
Jovica Vakičić
Kasija Turnić
Justin Tičerić
Prodana Ljubić
Vladeta Misić
Evica Vuičić
Miroslav Ozimić
Zorka Dinić
Teodor Pajagić
Hranislav Aćić
Prokopije Stijepić
Petronije Ušendić
Mitar Džankić
Marijan Račić
Taško Pernić
Mileta Stakušić
Momir Blešić
Krsman Ustić
Srđan Galešić
Desimir Stanišić
Milisav Lolić
Ljuba Jojić
Ćanka Margitić
Valerija Vilendečić
Radoslavka Glišić
Stracimir Šušnjić
Stanojla Aladić
Vojimir Igić
Eleonora Kolarić
Ranka Korbić
Pauna Vimić
Čeda Lilkić
Anđelko Bakić
Ljupka Dragić
Magdalena Andić
Milutin Cavnić
Veronika Mirčetić
Stojiljko Oliverić
Branislava Srdić
Vukoje Aulić
Kuzman Trnčić
Isak Tončić
Vukadin Mačužić
Vujadinka Patrnogić
Đukan Žmukić
Aleksandar Davinić
Vukadinka Dangubić
Prvoslavka Tubić
Milinko Bačlić
Njegoš Ponjavić
Antonije Stamenčić
Đura Jogrić
Čedomir Karaklajić
Živoslavka Irić
Radoslava Bijelić
Milun Bukovčić
Nevenka Budujkić
Čedomirka Epifanić
Miroslav Jondić
Uroš Delojkić
Katarina Rogulić
Anđelko Vaselić
Razumenka Duronić
Selena Grđić
Siniša Greblić
Vojimir Blečić
Ljubica Nevajdić
Buda Pašajlić
Velibor Bjelovitić
Joviša Kitonjić
Strahinja Avdulić
Radojlo Protić
Petronije Blažić
Jakša Gizdavić
Slavenka Nikšić
Daliborka Miričić
Pavle Nakaradić
Staniša Vukšić
Njegosav Đusić
Glorija Šakić
Rafailo Docić
Blagomir Bubonjić
Soja Bjelovitić
Ivana Zoričić
Velislav Markeljić
Živana Deretić
Milutin Vrkatić
Velislav Banjičić
Egenija Kekić
Vlastimir Šakotić
Branka Vukotić
Paun Vujetić
Ljubomirka Rančić
Filipa Marčić
Ćuba Maličić
Doris Boricić
Manojlo Nevenić
Čubrilo Gladić
Jagoš Paramentić
Sin|elija Gajetić
Petruška Gledić
Dragan Tijanić
Glorija Tičić
Vujadin Hadži Antić
Tina Egerić
Veselin Đonlić
Ljuba Dostanić
Radovan Pevalić
Gruja Prunić
Ljuban Krasić
Želimir Vujačić
Olga Čivčić
Jasmina Minčić
Spomenko Nebrigić
Živana Jokić
Ignjatije Anić
Živko Radekić
Cvijo Vrndić
Vasilije Ninčić
Borka Kanarić
Grigorije Grujanić
Nada Osmajlić
Gabrijela Srnić
Velislav Redžić
Maksim Rumenić
Dositej Jovetić
Bogdan Šaletić
Slavna Florikić
Bogosav Saičić
Đulijana Vukojčić
Violeta Džavrić
Ćile Gadžić
Sekula Karatošić
Radoljub Stekić
Andrijana Smolić
Đurđevka Ratkelić
Selimir Dimkić
Srećko Điknić
Lucija Bogetić
Veroljub Pićurić
Glorija Njegušić
Spomenka Zokić
Stamenko Žerajić
Ivan Vasikić
Dobrilo Čohadžić
Srđan Davinić
Raško Dragojić
Cvetko Krivokapić
Ivanka Burdžić
Nevenka Krpić
Simona Šošić
Vukašin Buzejić
Gradimir Ranđić
Teodor Šušnjić
Petrija Cuckić
Ivana Bocić
Jezdimir Jovanikić
Drago Šalić
Radiša Tufanić
Marko Čmerić
Lazar Buckić
Vekoslav Čokić
Ostoja Mršić
Teodosije Bisenić
Taško Topić
Hranislav Prokić
Hranislavka Kozarčić
Aco Kosnić
Srpko Mrkonjić
Vidak Njegić
Vladanka Lilić
Ratimir Pović
Desanka Tokalić
Živojin Gujaničić
Varvara Cvetnić
Vukašin Plavkić
Makrena Bruić
Divna Mandušić
Cvijan Kovljenić
Dušana Rašić
Negoslav Krušić
Eva Đinđić
Živka Ulardžić
Željka Vukosavljević
Stanika Purić
Momcilo Čeprnić
Zorka Jeličić
Vukoje Barić
Dejan Jojčić
Smiljana Bijelonić
Jelisavka Knjeginjić
Zaga Kravić
Stojka Mačužić
Darko Meržikić
Desanka Maletić
Simona Pauškić
Gligorije Lekić
Uglješa Čonkić
Mirosava Tešinić
Sima Rendić
Kuzman Veselić
Vuksan Kovljenić
Veliborka Roljić
Joviša Mudrinić
Đokica Boričić
Goca Dinčić
Stavra Mudrić
Ostoja Tomonjić
Sofija Vukošić
Željka Riđošić
Cviko Vidačić
Dobrilo Stakić
Negosava Čotrić
Mihailo Baveljić
Anka Sitničić
Nemanja Glavinić
Raško Blesić
Jevrosima Stoparić
Prvoslavka Radeljić
Cvijan Bjelić
Đurica Korugić
Evica Savatić
Bogomir Vidić
Bratislava Bacetić
Radonja Ljujić
Radoman Gadžić
Irena Vukojičić
Živka Milišić
Petruška Šaletić
Fotije Orolić
Stanislav Ljubišić
Branimir Potrebić
Zaga Perenić
Miroljub Planiničić
Čubrilo Prošić
Mladen Mališić
Radovan Travorić
Cajka Dunjić
Ana Patrić
Zagorka Spurnić
Živan Butrić
Kornelije Šurdić
Nevenka Grujičić
Tešman Lakonić
Suncica Sarić
Višeslav Jarić
Jela Stakušić
Mateja Višić
Svetlana Marotić
Vladeta Pražić
Slavenko Komlenić
Roksanda Tiragić
Živodarka Uverić
Kuzman Vukojčić
Kornelije Grušić
Jelena Prešić
Jerotije Blečić
Ivana Luketić
Tatomir Bronzić
Teodora Birdić
Danica Džomić
Ratko Bolpačić
Njegoslava Oliverić
Prvoslavka Rumenić
Emilijan Šarić
Avram Vojčić
Bogdana Galešić
Rajko Spurnić
Vujadin Šaletić
Milan Brenčić
Uranko Čupić
Đurđina Bjelonić
Ozren Lavrnić
Radoslava Cukić
Lela Bakalić
Toda Rajčetić
Živoratka Abadić
Ristivoj Simendić
Đurđija Pelić
Milinko Ristikić
Jezdimir Čičulić
Tamara Brančić
Isailo Cankić
Filiman Čihorić
Đoka Prekogačić
Isailo Toskić
Olga Jovčić
Slobodan Tojić
Vujka Mićić
Dobrica Smilić
Novica Duškić
Lale Mladenić
Slavenka Ćuić
Negoslav Stanarčić
Lazar Doknić
Radojlo Masalušić
Lenka Turlikić
Ratko Lancić
Vladanka Tuvić
Ristivoj Kaćurić
Slaven Cucić
Branimir Pualić
Milojko Brusić
Novka Brinić
Cvijan Gligurić
Nebojša Buzdokić
Doris Dabarčić
Aksentije Ranisavić
Borisav Tojić
Jugomir Bogatić
Đuro Dobratić
Dobrosav Nikezić
Radoš Čuperkić
Krstan Lotić
Perunika Dikić
Radisav Prelić
Janovka Nenezić
Perka Gagričić
Helena Trifunjagić
Filotej Stanetić
Bogdana Petrušić
Ilija Jevđić
Vladanka Zaharić
Lola Galonić
Milivoj Remetić
Ninoslav Demić
Negovan Zorbić
Ilija Kijačić
Bratislav Ležajić
Boško Podraščić
Nenad Jerčić
Perka Kesić
Tada Mišeljić
Stamena Jončić
Trifun Granolić
Stojka Jakić
Olgica Vračkić
Perka Kotlajić
Elizabeta Hadži Antić
Vitomir Bosiočić
Stojana Tominčić
Zvezdana Bontić
Roksanda Ilijić
Đukan Drmanić
Bogdanka Vajkarić
Jasminka Stančetić
Biljana Vasić
Cane Sarić
Đura Mušikić
Makrena Strunić
Sibin Savkić
Trajko Pajtić
Gavrilo Despenić
Željko Mutibarić
Milja Šapurić
Vukašin Blažetić
Melentije Inđić
Caka Borotić
Teofan Ljočić
Lenka Ruvidić
Goran Tufanić
Đurđija Kežić
Radinka Dedić
Zdravka Biserić
Marjan Đurić
Vlastimir Sendrić
Goran Krstonošić
Dalibor Anđić
Jela Aligrudić
Razumenka Gloginjić
Lena Savičić
Hranislavka Ranisavić
Stanojlo Sofrenić
Laza Ćirić
David Pljakić
Radomir Borokić
Sin|elija Jojkić
Vujadin Furnjigić
Trivun Bizumić
Hristina Pušonjić
Jelica Slavkić
Radoš Belobabić
Paun Ljepavić
Doroteja Pevalić
Isidor Borikić
Gavra Lazičić
Lepa Kečkić
Krunoslava Drenić
Blaženka Šavelić
Sofronije Tešinić
Anđelija Besjedić
Ljupka Voštinić
Rajica Sebić
Boško Dramlić
Dragica Ušćumlić
Sava Tulenčić
Ratislav Jančurić
Milinko Pović
Dmitar Šipragić
Toma Vakičić
Koviljka Kulić
Anđelko Malobabić
Vukadin Šuletić
Luka Čelikić
Aco Bodrožić
Stojmen Biberčić
Lenka Mančić
Ignjatije Pobulić
Obrad Badrkić
Ljuba Dudić
Božidar Okulić
Saveta Nocić
Petko Grdinić
Kojadin Gvojić
Dragiša Gavrišić
Stanoje Turajlić
Ostoja Brenčić
Toma Tripić
Spomenka Brandić
Radivoj Janjušić
Julka Bilkić
Vojislav Kozomarić
Danojlo Kukarić
Veselinka Azarić
Biserka Dobranić
Budimir Dodić
Filotej Šubić
Živka Rstić
Nenad Đurđić
Šale Pelić
Milutin Tekić
Radule Kažić
Nebojša Barnić
Una Matarugić
Lenka Radić
Cvijo Deletić
Radul Lozanić
Miroslav Razumenić
Milesa Zrakić
Simonida Škondrić
Đuro Ivantić
Milun Tičić
Jagoš Džinić
Pajka Tajsić
Radovan Krtinić
Višeslav Dajičić
Filipinka Skorić
Zlatoslav Buljigić
Dobrinka Botorić
Viktorija Ćoralić
Lela Đujić
Biserka Tutorić
Vujadin Bjelinić
Persida Kamperelić
Arsenije Kaldesić
Dositej Stojačić
Stojka Kljaić
Veljko Tanić
Slaven Vemić
Sandra Jerinkić
Olja Ljevnaić
Žika Dašić
Slavka Jorgonić
Boško Granolić
Radivoj Čemerikić
Stamenija Bradajić
Poleksija Rabadžić
Negovan Daničić
Bosiljka Bončić
Cviko Đerić
Julka Ekmečić
Đurđe Zakić
Zaviša Bilić
Ljubica Ibrić
Vojislav Basurić
Aksentije Bačunić
Njegoslav Jovčić
Tanasko Rapaić
Kasija Popadić
Tomka Genčić
Puriša Perkić
Nićifor Rokvić
Vuk Bradonjić
Njegoš Bavrlić
Ljubivoje Petrikić
Rumenka Zokić
Anđelko Damjanić
Mitra Albijanić
Janovka Balandžić
Snežana Anđušić
Vladislav Nedučić
Ranisav Oketić
Ivko Poznić
Vukoje Štatkić
Mladen Dudikić
Matija Kočić
Radojlo Šćekić
Hristina Gerić
Avram Papulić
Ljubiša Grubišić
Doris Kukarić
Ivica Grubnić
Prvoslava Navalušić
Jovan Čavrić
Prodana Eremić
Marijan Boltić
Sofija Markulić
Kristina Gadžić
Dragojlo Vuić
Milija Božić
Simeon Perčić
Divna Đurbabić
Jordan Trošić
Jordanka Kolorogić
Vuksana Ćebić
Makarije Penezić
Jelisavka Jojić
